F/CAKES,FISHCAKES
SUGARSNAP,Sugar Snap
SUGARSTRAWBERRY,Sugar Strawberry
SUGER,Sugar
SUL/HON/C/ALMD,Sultanas Honey Coconut Almonds
SULIT,SUNLIT
SULTANA&APPLE,Sultana & Apple
SULTANA&RAISIN,Sultana & Raisin
SUM1VSPCL,Someone Very Special
SUMMERBERRY,Summer Berry
SUMMERFRUIT,SUMMER FRUIT
SUMMERFRUITS,SUMMER FRUITS
SUN/BRONZE,SUNLIT BRONZE
SUNDAE130G,Sundae 130g
SUNDAE700G,Sundae 700g
SUNDAYLUNCH,Sunday Lunch
SUNDORA/WHITWOTHJUICY,Sundora Whitworths Juicy
SUNDRIEDTOMT,Sundried Tomato
SUNFLOWER&PUMP,Sunflower & Pump
SUNKISSED,Sun Kissed
SUNLTN,Sun Lotion
SUNSETJUICE,Sunset Juice
SUNSHINECOND,Sunshine Conditioner
SUNSHINEREGGAE,Sunshine Reggae
SUNSPLASHALL,Sun Splash all
SUP,SUPREME
SUPERCHUNKS,Super Chunks
SUPERFRUITVIT150,Super Fruit Vit 150
SUPERKIDS,Super Kids
SUPERMEATSELN,Super Meat Selection
SUPERSWEETCHARANTAIS,Super Sweet Charantais
SUPP,SUPPLEMENT
SUPREM,SUPREMO
SUPREMCFFE,Supreme Coffee
SUPREMESPER,SUPREMES PER
SUPREMGRND,Supreme Ground
SURPRISEWRAP,SURPRISE WRAP
SUSHINORI,SUSHI NORI
SUT,STAND UP TUB
SUVGN BLNC,Sauvignon Blanc
SVEURS D TERRS,SAVEURS DE TERROIRS
SVILE,SEVILLE
SVILE & MARMACHILI,SEVILLE & MARMACHILI
SW/SOUR,SWEET & SOUR
SWEET&,Sweet And
SWEET/CHILLISAUSAGE,SWEET / CHILLI SAUSAGE
SWEETBARBECUE,Sweet Barbecue
SWEETCHILLI,Sweet Chilli
SWEETCHILLI&LIME,Sweet Chilli & Lime
SWEETCORN200G,SWEETCORN 200G
SWEETCORNPASTA,SWEETCORN PASTA
SWEETCORNS/WICH,Sweetcorn Sandwich
SWEETCORNSANDWICH,SWEETCORN SANDWICH
SWEETFIREBEETROOT,SWEETFIRE BEETROOT
SWEETPEPRS,Sweets peppers
SWEETS &TVTREATS,Sweets and Tv Treats
SWEETSHOP,Sweet Shop
SWING/SAT,SWINGING SATURN
SWISSHERB,Swiss Herb
SWRTZ,SCHWARTZ
SWS/STYL,Swiss Style
SWT,SWEET
SWT&,Sweet And
SWT&SPCY,Sweet & Spicy
SWT/CH,Sweet Chilli
SWT/POT,Sweet Potato
SWT/SPICY,Sweet Spicy
SWT/THAI,Sweet Thai
SWTCHOCOLATE,Sweet Chocolate
SWTND,SWEETENED
SWTNR,SWEETENER
SWTS,Sweets
SWVL,Swivel
SYM,SYMPATHY
SYMPHONIADUO,Symphonia Duo
SYMPHONIALUXURY,Symphonia Luxury
SYMPHONIAMAGONLIA,Symphonia magonlia
SYNC&CHARG,Sync & Charge
SYRP,SYRUP
SYSTEMCUCUMBER,System Cucumber
SYSTEMTEA&GINGER,System Tea & Ginger
SYSTEMTRIGGER,System trigger
SYVAN FMLS,SYLVANIAN FAMILIES
SZ,Size
SZ/ST,SIZZLE & STIR
SZCHN,Szechaun
SZECHAUN,Szechuan
SZZLNG,Sizzling
T *FINEST,Tesco Finest
T .BABY,Tesco Baby
T .ORGANIC,Tesco Organic
T 10,Tesco 10
T 100%,Tesco 100%
T 10PK,TESCO 10PK
T 12,TESCO 12
T 12 FIN*,Tesco Finest 12
T 18MM,Tesco 18Mm
T 190,Tesco 190
T 2,Tesco 2
T 2 FIN,Tesco Finest 2
T 2 FIN*,Tesco Finest 2
T 20,Tesco 20
T 20PK,Tesco 20  Pack
T 30,Tesco 30
T 30L,Tesco 30L
T 30PK,Tesco 30Pk
T 4,Tesco 4
T 4 FIN*,Tesco Finest 4
T 45L,Tesco 45L
T 4X,Tesco 4X
T 5,Tesco 5
T 5FT,Tesco 5Ft
T 6,Tesco 6
T 6FT,Tesco 6 feet
T 6PK,Tesco 6Pk
T 7X5FT,Tesco 7X5ft
T 8,Tesco 8
T 8 FIN*,Tesco Finest 8
T 9PK,Tesco 9Pk
T A4,TESCO A4
T A5,Tesco A5
T ACCESSORIES,Tesco Accessories
T ACRYLIC,Tesco Acrylic
T ACTIVEQUIPMENT,T Activequipment
T ADHESIVE,Tesco Adhesive
T ADJUSTABLE,Tesco Adjustable
T ANIMAL,Tesco Animal
T ANIMATED,Tesco Animated
T ANTIQUE,Tesco Antique
T ASPARAGUS,Tesco Asparagus
T B,Tesco B
T B/L,Tesco Boneless
T BABY,Tesco Baby
T BADMINTON,Tesco Badminton
T BAKED,Tesco Baked
T BAMBOO,Tesco Bamboo
T BANNER,Tesco Banner
T BARBEQUE,Tesco Barbeque
T BASIC,Tesco Basic
T BASTED,Tesco Basted
T BBY,Tesco Baby
T BEACH,Tesco Beach
T BEARNAISE,Tesco Bearnaise
T BEDFORDSHIRE,Tesco Bedfordshire
T BEEF,Tesco Beef
T BELGIAN,Tesco Belgian
T BIGGER,Tesco Bigger
T BIRTHDAY,Tesco Birthday
T BLACK,Tesco Black
T BLACKCURRANT,TESCO BLACKCURRANT
T BLUE,Tesco Blue
T BLUEBERRY,Tesco Blueberry
T BREADED,T BREADED
T BREAKFAST,Tesco Breakfast
T BRIGHT,Tesco Bright
T BRIGHTS,Tesco Brights
T BRITISH,Tesco British
T BRUSHED,Tesco Brushed
T BUCKINGHAM,Tesco Buckingham
T BUILDING,Tesco Building
T BUTCHER,Tesco Butcher
T BUTTER,Tesco Butter
T CAKE,Tesco Cake
T CALAMARI,Tesco Calamari
T CAMBOZOLA,Tesco Cambozola
T CAMEMBERT,Tesco Camembert
T CAROUSEL,Tesco Carousel
T CATERPILLAR,Tesco Caterpillar
T CERAMIC,Tesco Ceramic
T CERISE,Tesco Cerise
T CHARGRILLED,Tesco Chargrilled
T CHEDDAR,Tesco Cheddar
T CHEESE,Tesco Cheese
"T CHEESE,","Tesco Cheese,"
T CHEESECAKE,Tesco Cheesecake
T CHERRY,TESCO CHERRY
T CHESTERFIELD,Tesco Chesterfield
T CHICKEN,Tesco Chicken
T CHICKPEA,Tesco Chickpea
T CHILDREN,Tesco Children
T CHILDRENS,Tesco Childrens
T CHILLI,Tesco Chilli
T CHILLY,Tesco Chilly
T CHOC,T CHOC
T CHOCOLATE,TESCO CHOCOLATE
T CHOKABLOK,Tesco Chokablok
T CHOLESTEROL,Tesco Cholesterol
T CHRISTMAS,Tesco Christmas
T CHUNKY,Tesco Chunky
T CIABATTA,Tesco Ciabatta
T CITRONELLA,Tesco Citronella
T CITY,Tesco City
T CKN,Tesco Chicken
T CLASSIC,Tesco Classic
T COFFEE,TESCO COFFEE
T COL,Tesco Coloured
T COMO,Tesco Como
T COMPLETE,Tesco Complete
T CONCENTRATED,Tesco Concentrated
T CONFERENCE,TESCO CONFERENCE
T CONGRATULATION,Tesco Congratulation
T COOKED,Tesco Cooked
T COOKS,Tesco Cooks
T CORE,Tesco Core
T CORONATION,TESCO CORONATION
T COTTAGE,Tesco Cottage
T COTTON,Tesco Cotton
T CREAM,Tesco Cream
T CREAMFIELDS,TESCO CREAMFIELDS
T CREAMY,Tesco Creamy
T CRISP,Tesco Crisp
T CRUSTLESS,Tesco Crustless
T CRUSTY,Tesco Crusty
T CUBE,Tesco Cube
T CUDDLE,Tesco Cuddle
T CUMBERLAND,Tesco Cumberland
T CURRY,Tesco Curry
T CUSTARD,Tesco Custard
T DAISY,Tesco Daisy
T DAMSON,Tesco Damson
T DARTH,Tesco Darth
T DAY,Tesco Day
T DECORATE,Tesco Decorate
T DEEP,Tesco Deep
T DIARRHOEA,Tesco Diarrhoea
T DIECAST,Tesco Diecast
T DIFFUSER,TESCO DIFFUSER
T DINNER,Tesco Dinner
T DISH,Tesco Dish
T DISNEY,Tesco Disney
T DORSET,Tesco Dorset
T DOUBLE,Tesco Double
T DUTCH,Tesco Dutch
T EASY,Tesco Easy
T EDAY,Tesco Everyday
T EDITION,Tesco Edition
T EGG,Tesco Egg
T EMMI,TESCO EMMI
T ENGLISH,Tesco English
T ENHANCED,Tesco Enhanced
T ENJOY,Tesco Enjoy
T EQUIPMENT,Tesco Equipment
T ESCO,Tesco Esco
T ESSENTIAL,Tesco Essential
T EVERYDAY,Tesco Everyday
T EXPRESS,Tesco Express
T EXTRA,Tesco Extra
T F&F,TESCO F&F
T F*,TESCO FINEST
T F/S,Tesco F/S
T FAIRFAX,Tesco Fairfax
T FAMILY,Tesco Family
T FAST,Tesco Fast
T FATHERS,Tesco Fathers
T FETA,Tesco Feta
T FFYNNON,Tesco Ffynnon
T FIN,TESCO FINEST
T FIN*,Tesco Finest
T FIN*AUSTRALIANDRESSED,Tesco Finest Australian Dressed
T FIN*RESTAURANTCOLL,Tesco Finest Restaurant Collection
T FINEST,Tesco Finest
T FINEST*CHANNELISLAND,Tesco Finest Channel Island
T FIREMAN,Tesco Fireman
T FIRST,Tesco First
T FISH,Tesco Fish
T FITTED,Tesco Fitted
T FLASH,TESCO FLASH
T FLD,Tesco Fld
T FLITTERED,Tesco Flittered
T FLO,Tesco Flo
T FLORAL,Tesco Floral
T FLORENCE,Tesco Florence
T FLOWER,Tesco Flower
T FOAM,Tesco Foam
T FOS,Tesco Fos
T FRAGRANCE,Tesco Fragrance
T FRESH,Tesco Fresh
T FRESHLY,Tesco Freshly
T FRIED,Tesco Fried
T FRTY,Tesco Fruity
T FSC,Tesco Fsc
T FULLY,Tesco Fully
T FUNNY,Tesco Funny
T GAMMON,Tesco Gammon
T GARDEN,Tesco Garden
T GARLIC,Tesco Garlic
T GARLIC/HERB,Tesco Garlic Herb
T GIANT,Tesco Giant
T GINGERBREAD,Tesco Gingerbread
T GLASS,Tesco Glass
T GLUCOSAMINE,Tesco Glucosamine
T GLUTEN,Tesco Gluten
T GO,Tesco Go
T GOATS,Tesco Goats
T GOLD,Tesco Gold
T GOODNESS,TESCO GOODNESS
T GRAPE,Tesco Grape
T GRATED,TESCO GRATED
T GREAT,Tesco Great
T GREEK,Tesco Greek
T GYM,T Gym
T H/L,Tesco Healthy Living
T HAIR,Tesco Hair
T HALKIDIKI,Tesco Halkidiki
T HAM,Tesco Ham
T HANGING,Tesco Hanging
T HAPPY,Tesco Happy
T HEALTHY,Tesco Healthy
T HEART,Tesco Heart
T HEAT,Tesco Heat
T HELSINKI,Tesco Helsinki
T HERRINGBONE,Tesco Herringbone
T HOLLY,Tesco Holly
T HONEY,Tesco Honey
T HOT,Tesco Hot
T HOUMOUS,Tesco Houmous
T HUGS&KISSES,Tesco Hugs & Kisses
T HUNTERS,TESCO HUNTERS
T HURRICANE,Tesco Hurricane
T HYDRATING,Tesco Hydrating
T I,Tesco I
T ICICLE,Tesco Icicle
T INDIAN,Tesco Indian
T INDIVIDUAL,Tesco Individual
T INFLATABLE,Tesco Inflatable
T INNOCENT,Tesco Innocent
T IRISH,Tesco Irish
T ITALIAN,Tesco Italian
T ITALIANO,Tesco Italiano
T JAM,Tesco Jam
T JAMAICAN,Tesco Jamaican
T JAPANESE,Tesco Japanese
T JELLY,Tesco Jelly
T JERK,Tesco Jerk
T JOTTER,Tesco Jotter
T JUBILEE,Tesco Jubilee
T JUICE,Tesco Juice
T JUST,Tesco Just
T KELLY,Tesco Kelly
T KEM,Tesco Kem
T KEN,Tesco Ken
T KIDS,TESCO KIDS
T KING,Tesco King
T LAMB,Tesco Lamb
T LARGE,Tesco Large
T LASER,Tesco Laser
T LAYERED,Tesco Layered
T LEMON,Tesco Lemon
T LEOPARD,Tesco Leopard
T LETTERING,Tesco Lettering
T LIGHT,Tesco Light
T LIMITED,Tesco Limited
T LINCOLNSHIRE,Tesco Lincolnshire
T LITTLE,TESCO LITTLE
T LOVE,Tesco Love
T LOW,Tesco Low
T LTD,Tesco Ltd
T LTD ED,Tesco Limited Edition
T LUXURY,Tesco Luxury
T M/VITS,Tesco Multivitamins
T MACKEREL,Tesco Mackerel
T MADE,Tesco Made
T MAISON,T Maison
T MANZANILLA,Tesco Manzanilla
T MAP,Tesco Map
T MARKET,Tesco Market
T MAT,Tesco Mat
T MATURE,Tesco Mature
T MEAL,Tesco Meal
T MEATBALL,Tesco Meatball
T MEDITERRANEAN,Tesco Mediterranean
T MEDIUM,Tesco Medium
T MELT,TESCO MELT
T MENS,Tesco Mens
T MICKEY,Tesco Mickey
T MICRO,Tesco Micro
T MILAN,Tesco Milan
T MILLIONAIRE,Tesco Millionaire
T MILTON,Tesco Milton
T MINI,Tesco Mini
T MINNIE,Tesco Minnie
T MINT,Tesco Mint
T MISS,TESCO MISS
T MIXED,Tesco Mixed
T MONO,Tesco Mono
T MOROCCAN,Tesco Moroccan
T MOSAIC,TESCO MOSAIC
T MOSES,Tesco Moses
T MOSES/PRAM,Tesco Moses/Pram
T MOTHERS,Tesco Mothers
T MOZARELLA,Tesco Mozarella
T MR,Tesco Mr
T MRS,Tesco Mrs
T MULLED,Tesco Mulled
T MULTI,Tesco Multi
T MULTIVITAMIN,Tesco Multivitamin
T MUSHROOM,Tesco Mushroom
T MY,Tesco My
T NANZA,Tesco Nanza
T NAS,Tesco No Added Sugar
T NATURAL,Tesco Natural
T NAW,Tesco Naw
T NEUTRAL,Tesco Neutral
T NO,Tesco No
T NON,Tesco Non
T NON-SCRATCH,Tesco Non-Scratch
T NOT,Tesco Not
T NUTRI1ST,Tesco Nutri 1st
T OAK,Tesco Oak
T OAKTREE,Tesco Oaktree
T ONE,Tesco One
T ONION,Tesco Onion
T ORANGE,Tesco Orange
T ORCHID,Tesco Orchid
T ORGANIC,Tesco Organic
T ORIGINA,Tesco Origina
T OUTER,Tesco Outer
T PALE,Tesco Pale
T PAPRIKA,Tesco Paprika
T PARMESAN,Tesco Parmesan
T PARMESIAN,Tesco Parmesian
T PARTY,Tesco Party
T PASTRAMI,Tesco Pastrami
T PATCH,Tesco Patch
T PATTERNED,Tesco Patterned
T PEARLISED,Tesco Pearlised
T PECORINO,Tesco Pecorino
T PEDESTAL,Tesco Pedestal
T PEPPERONI,Tesco Pepperoni
T PERSONALISABLE,Tesco Personalisable
T PET,Tesco Pet
T PHOTO,Tesco Photo
T PICNIC,Tesco Picnic
T PILLAR,Tesco Pillar
T PIMENTO,Tesco Pimento
T PINK,Tesco Pink
T PLAIN,Tesco Plain
T PLANT,Tesco Plant
T PLOUGHMANS,Tesco Ploughmans
T PNK,Tesco Pink
T POLKA,Tesco Polka
T POLYPROPYLENE,TESCO POLYPROPYLENE
T POP,Tesco Pop
T POPPER,Tesco Popper
T PORCELAIN,Tesco Porcelain
T PORK,Tesco Pork
"T PORK,","Tesco Pork,"
T PORK/SGE,Tesco Pork/Sage
T PORK/SGE/ONION,"Tesco Pork, Sage, Onion"
T PORK/SGE/ONIONSTUFFED,Tesco Pork Sage Onion Stuffed
T POSTCARD,Tesco Postcard
T POSTING,Tesco Posting
T POT,TESCO POT
T POTATO,Tesco Potato
T PRAWN,Tesco Prawn
T PRINCESS,Tesco Princess
T PRO,Tesco Pro
T PROFESSIONAL,Tesco Professional
T PROJECTION,Tesco Projection
T PURE,Tesco Pure
T PURPLE,Tesco Purple
T PWN,Tesco Prawn
T QUEENS,Tesco Queens
T RASBERRY,Tesco Rasberry
T RASPBERRY,Tesco Raspberry
T READY,Tesco Ready
T REAL M/SHKE CO,THE REAL MILKSHAKE COMPANY
T RECTANGULAR,Tesco Rectangular
T RED,Tesco Red
T RED/BLACK,Tesco Red/Black
T REDUCED,Tesco Reduced
T REGENCY,Tesco Regency
T RELIGIOUS,Tesco Relegious
T RESTAURANT,Tesco Restaurant
T RETRO,Tesco Retro
T RHUBARB,Tesco Rhubarb
T ROAD,Tesco Road
T ROAST,TESCO ROAST
T ROASTED,Tesco Roasted
T ROCKY,Tesco Rocky
T RODEO,Tesco Rodeo
T ROS,Tesco Rose
T ROSE,Tesco Rose
T ROYAL,Tesco Royal
T RST,Tesco Roast
T RSTD,TESCO ROASTED
T RUFFLES,Tesco Ruffles
T SAGE,Tesco Sage
T SALMON,Tesco Salmon
T SALT,Tesco Salt
T SANDWICH,Tesco Sandwich
T SATIN,Tesco Satin
T SCARED,TESCO SCARED
T SCENTED,TESCO SCENTED
T SCROLL,Tesco Scroll
T SCRUMPTIOUS,Tesco Scrumptious
T SEAFOOD,Tesco Seafood
T SEASONAL,Tesco Seasonal
T SET,Tesco Set
T SHEET,Tesco Sheet
T SHORTCRUST,Tesco Shortcrust
T SHOWER,Tesco Shower
T SIDESTACK,Tesco  Sidestack
T SILHOUETTE,Tesco Silhouette
T SILVER,Tesco Silver
T SIMPLY,Tesco Simply
T SINGLE,Tesco Single
T SKIN,Tesco Skin
T SLOW,Tesco Slow
T SLVRFOIL,Tesco Silver foil
T SMALL,TESCO SMALL
T SMART,Tesco Smart
T SMOKED,Tesco Smoked
T SMOOTH,Tesco Smooth
T SNOWGLOBE,Tesco Snowglobe
T SOFT,Tesco Soft
T SOUTHERN,Tesco Southern
T SPA,Tesco Spa
T SPARKLE,Tesco Sparkle
T SPARKLING,Tesco Sparkling
T SPEARS,Tesco Spears
T SPECIAL,Tesco Special
T SPECIALITY,T ESCO SPECIALITY
T SPICED,Tesco Spiced
T SPICY,Tesco Spicy
T SPIDERMAN,Tesco Spiderman
T SPINACH,Tesco Spinach
T SPKLING,Tesco Sparkling
T SPOT,Tesco Spot
T SPOTTY,Tesco Spotty
T SQUARE,Tesco Square
T STAINLESS,Tesco Stainless
T STANZA,Tesco Stanza
T STICKY,Tesco Sticky
"T STILTON,","Tesco Stilton,"
T STIR,Tesco Stir
T STITCHED,Tesco Stitched
T STOCKHOLM,Tescp Stockholm
T STRAWBERRY,T Strawberry
T STRIPE,Tesco Stripe
T STUDIO,Tesco Studio
T SUFFOLK,Tesco Suffolk
T SUGAR&SPICE,Tesco Sugar & Spice
T SUGARED,Tesco Sugared
T SUNBLUSH,TESCO SUNBLUSH
T SUNDRIED,TESCO SUNDRIED
T SUPERSHAPE,Tesco Supershape
T SUPERSTAR,Tesco Superstar
T SUSHI,Tesco Sushi
T SWEET,Tesco Sweet
T TABLE,Tesco Table
T TAKEAWAY,TESCO TAKEAWAY
T TANDOORI,Tesco Tandoori
T TAPAS,Tesco Tapas
T TAPER,Tesco Taper
T TARTAN,Tesco Tartan
T TAUPE,Tesco Taupe
T TEA,TescoTea
T TEENAGE,Tesco Teenage
T THICK,Tesco Thick
T THICK/CRUNCHY,Tesco Thick / Crunchy
T THIN,Tesco Thin
T TO,Tesco To
T TODDLER,Tesco Toddler
T TOI,Tesco Toi
T TOILET,Tesco Toilet
T TOMATO,Tesco Tomato
T TOMT,Tesco Tomato
T TORINO,Tesco Torino
T TOULOUSE,Tesco Toulouse
T TRADITIONAL,Tesco Traditional
T TREE,Tesco Tree
T TRIPLE,Tesco Triple
T TUB,Tesco Tub
T TURKEY,Tesco Turkey
"T TURKEY,","Tesco Turkey,"
T TWEET,Tesco Tweet
T TWIN,Tesco Twin
T UK,Tesco UK
T UKOB,TESCO UKOB
T UNFRAGRANCED,Tesco Unfragranced
T UNION,Tesco Union
T UNISEX,Tesco Unisex
T UNSMOKED,Tesco Unsmoked
T URBAN,Tesco Urban
T VAL,Tesco Value
T VALUE,Tesco Value
T VANILLA,TESCO VANILLA
T VEGELICIOUS,Tesco Vegelicious
T VEGETARIAN,Tesco Vegetarian
T VIA,Tesco Via
T VICTORIA,Tesco Victoria
T VITAMIN,Tesco Vitamin
T W/FOODS,Tesco Wholefood
T WAFER,Tesco Wafer
T WAFFLE,Tesco Waffle
T WARNING,Tesco Warning
T WASHABLE,Tesco Washable
T WATER,Tesco Water
T WATERCOLOUR,Tesco Watercolour
T WATERING,Tesco Watering
T WEDDING,Tesco Wedding
T WENSLEYDALE,Tesco Wensleydale
T WEST,Tesco West
T WHEELBARROW,Tesco Wheelbarrow
T WHITE,Tesco White
T WHITEBOARD,Tesco Whiteboard
T WHOLE,Tesco Whole
T WILLOW,Tesco Willow
T WILTSHIRE,Tesco Wiltshire
T WOMEN'S,Tesco Women's
T WREATH,Tesco Wreath
T XMAS,Tesco Christmas
T XMAS FIN*,Tesco Finest Christmas
T YOO,Tesco Yoo
T YOYO,Tesco Yoyo
T YUMMY,Tesco Yummy
T ZESTY,Tesco Zesty
T&C,THIN AND CRISPY
T&COFFSCOTTISH,Tea & Coffee Scottish
T&E,Tender and Easy
T&FEEL,Touch & Feel
T&G,TONI & GUY
T.,TESCO
T. 4 FINEST,Tesco Finest 4
T. AFRCN HORZN,The African Horizon
T. CALIFORNIAN,Tesco Californian
T. CHICKEN,Tesco Chicken
T. FIN*SUPREMO,Tesco Finest Supremo
T. FIN.BELGIAN,Tesco Finest Belgian
T. FINEST,Tesco Finest
T. H/BEAN CO,The Honest Bean Co
T. ILLSRTD NL,The Illustrated Nail
T. LIGHT,Tesco Light
T. MACKEREL,Tesco Mackerel
T. ORGANIC,Tesco Organic
T. PKLD,Tesco Pickled
T. PRAWN,Tesco Prawn
T. PROFESSIONAL,Tesco Professional
T.& JAMIE OLIVER,Tesco & Jamie Oliver
T.10 ,Tesco 10 
T.12,Tesco.12
T.2,Tesco 2
T.2 FINEST,Tesco Finest 2
T.4,Tesco 4
T.4 FIN*,Tesco Finest 4
T.A4,Tesco.A4
T.A6,Tesco.A6
T.ACTIVE,Tesco Active
T.ACTIVEQUIPMENT,Tesco Activequipment
T.ALUMINIUM,Tesco Aluminium
T.AMERICANA,Tesco Americana
T.ANTIBACTERIAL,Tesco Antibacterial
T.APL/B/CRNT,Tesco Apple/Blackcurrant
T.APL/S/BRY,Tesco.Apple/Strawberry
T.APPLE,Tesco Apple
T.AQUA,Tesco Aqua
T.ARGENTINIAN,Tesco Argentinian
T.BABY,Tesco Baby
T.BABYS,Tesco Babys
T.BALL,Tesco Ball
T.BALLOON,Tesco Balloon
T.BBY,Tesco Baby
T.BDY,Tesco Body
T.BEEF,Tesco Beef
T.BEL CFE/C,The Belfast Coffee Co.
T.BELGIAN,Tesco Belgian
T.BENEFITS,Tesco Benefits
T.BERRY,Tesco Berry
T.BIG,Tesco Big
T.BISCS,Tesco Biscuits
T.BLACK,Tesco Black
T.BLK/GOLD,Tesco Black/Gold
T.BLUSH,Tesco Blush
T.BODY,Tesco Body
T.BOOK,Tesco Book
T.BOTTLE,TESCO BOTTLE
T.BOUNCY,Tesco Bouncy
T.BRAMLEY,Tesco Bramley
T.BRIGHT,Tesco Bright
T.BRITISH,Tesco British
T.BRUSSELS,Tesco Brussels
T.BUNTING,Tesco Bunting
T.CAKE,Tesco Cake
T.CARAMELISED,Tesco Caramelised
T.CELLULAR,Tesco Cellular
T.CELLULARBLANKE,Tesco Cellularblanke
T.CELULR,Tesco.Celulr
T.CERAMIC,TESCO CERAMIC
T.CERTIFICATE,TESCO CERTIFICATE
T.CHARDONNAY,Tesco Chardonnay
T.CHILD,Tesco Child
T.CHILLI,Tesco Chilli
T.CHOC,Tesco Choc
T.CHOCOLATE,Tesco Chocolate
T.CHOL,Tesco Chol
T.CHOLESTEROL,Tesco Cholestrol
T.CHRISTMAS,Tesco Christmas
T.CHROME,TESCO CHROME
T.CITY,Tesco City
T.CKN,Tesco Chicken
T.CLOSED,Tesco Closed
T.COCONUT,Tesco Coconut
T.COLOURED,Tesco Coloured
T.COOKED,Tesco Cooked
T.CORNFLOWER,Tesco Cornflower
T.COTT,Tesco Cottage
T.COTTAGE,Tesco Cottage
T.CRANBERRY,Tesco Cranberry
T.CYLINDER,Tesco Cylinder
T.DAILY,Tesco Daily
T.DBL,Tesco Double
T.DBLE,Tesco Double
T.DISCOUNTER,Tesco Discounter
T.DISHWASHING,Tesco Dishwashing
T.DISNEY,Tesco Disney
T.DOCUMENT,Tesco Document
T.DODGEMS,Tesco Dodgems
T.DOLLY,Tesco Dolly
T.DUCK,Tesco Duck
T.E/D,Tesco Everyday
T.E/DAY VALUE,Tesco Everyday Value
T.EASTER,Tesco Easter
T.EAT,Tesco Eat
T.ECHINACEA,Tesco Echinacea
T.EDAY,Tesco Everyday
T.EMMI,Tesco Emmi
T.EVERYDAY,Tesco Everyday
T.EX,Tesco Ex
T.EXOTIC,Tesco Exotic
T.EXPANDING,TESCO EXPANDING
T.EXTRA,Tesco Extra
T.EXTRACTS,Tesco Extracts
T.F,Tesco Finest
T.F/FD KITCH,The Fresh Food to go Kitchen
T.FACIAL,Tesco Facial
T.FALAFEL,Tesco Falafel
T.FAMILY,Tesco Family
T.FANTAIL,Tesco Fantil
T.FANTASTICAL,TESCO FANTASTICAL
T.FAT,Tesco Fat
T.FAUX,TESCO FAUX
T.FIN,Tesco Finest
T.FIN 4,Tesco Finest 4
T.FIN*,Tesco Finest
T.FIN*CKN,Tesco Finest Chicken
T.FIN.,Tesco Finest
T.FIN.ALL,Tesco Finest All
T.FINEST,Tesco Finest
T.FINEST*,Tesco Finest
T.FINWENSLEYDALE,Tesco Finest wensleydale
T.FISH,Tesco Fish
T.FITTED,Tesco.Fitted
T.FIZZY,Tesco Fizzy
T.FLANELTE,Tesco Flanelte
T.FLATELTE,Tesco Flatelte
T.FLECE,Tesco Flece
T.FLEECE,Tesco Fleece
T.FLORAL,Tesco Floral
T.FLTETTE,Tesco Fltette
T.FOIL,Tesco Foil
T.FONDANT,Tesco Fondant
T.FOOLSCAP,Tesco Foolscap
T.FOREST,Tesco Forest
T.FR/FRM,Tesco Free From
T.FREE,Tesco Free
T.FRESH,Tesco Fresh
T.FRUITY,Tesco Fruity
T.FUEL,Tesco Fuel
T.GAMMON,Tesco Gammon
T.GARLIC,Tesco Garlic
T.GINGHAM,Tesco Gingham
T.GLITTER,Tesco Glitter
T.GO,Tesco Go
T.GOLDEN,Tesco Golden
T.GOODNESS,Tesco Goodness
T.GREEK,Tesco Greek
T.H/L,Tesco Healthy Living
T.HALLOWEEN,Tesco Halloween
T.HAPPY,Tesco Happy
T.HAY,Tesco Hay
T.HEALHY,Tesco Healthy
T.HEALTHY,Tesco Healthy
T.HEAT,Tesco Heat
T.HIGH,Tesco High
T.HLTH,TESCO HEALTH
T.HOLOGRAPHIC,Tesco Holographic
T.HON&LEM,Tesco Honey & Lemon
T.HONEY,Tesco Honey
T.HONEYSUCKLE,Tesco Honeysuckle
T.HOT,Tesco Hot
T.HUNTSMAN ,Tesco Huntsman 
T.ICECREAM,Tesco Icecream
T.INCREDIBLY,Tesco Incredibly
T.INGREDIENTS,Tesco Ingredients
T.IRISH,Tesco Irish
T.IRONING,TESCO IRONING
T.ITALIAN,Tesco Italian
T.ITALIANGARLIC,Tesco Italian Garlic
T.JAFFA,Tesco Jaffa
T.JERSEY,Tesco Jersey
T.JUICY,Tesco Juicy
T.KEN,Tesco Ken
T.KIDS,Tesco Kids
T.KIDS6PONYBAND,Tesco Kids 6 ponyband
T.KIDS6PONYBANDS,Tesco Kids 6 ponybands
T.KLTD PRK CO.,The Kilted Pork Co.
T.L/CH,Tesco Light Choice
T.LAY,Tesco Lay
T.LEMON,Tesco Lemon
T.LGE,Tesco Large
T.LGHT/CHOICES,Tesco Light Choices
T.LIGHT,Tesco Light
T.LIGHTER,Tesco Lighter
T.LONG,Tesco Long
T.LOVES,Tesco Loves
T.LTD,Tesco Limited
T.LUXURY,Tesco Luxury
T.LUXURYBOUTIQUE,Tesco Luxury boutique
T.MAGNETIC,Tesco Magnetic
T.MAKE,Tesco Make
T.MARINATED,Tesco Marinated
T.MASALA,TIKKA MASALA
T.MATCHSTICK,TESCO MATCHSTICK
T.MAX,Tesco Max
T.MENOPAUSE,Tesco Menopause
T.MILK,Tesco Milk
T.MINI,Tesco Mini
T.MIX,Tesco Mix
T.MONKFISH,Tesco Monkfish
T.MONTERY,Tesco Montery
T.MOROCCAN,Tesco Moroccan
